City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Araripina,BR,76.69,clear sky,-7.58,-40.5,Hotel Eco Recanto da Serra
289,Maceio,BR,74.64,scattered clouds,-9.67,-35.74,Poutur Pousada
290,Pokrovsk,UA,74.17,clear sky,48.28,37.18,Druzhba
291,Binzhou,CN,74.34,light rain,37.37,118.02,Hampton By Hilton Binzhou
292,Pitimbu,BR,75.79,scattered clouds,-7.47,-34.81,Reserva do Abiaí
295,Vylkove,UA,79.34,broken clouds,45.4,29.59,Pelican City
297,Enshi,CN,70.11,broken clouds,30.3,109.48,Moevenpick Enshi
298,Alofi,NU,78.69,scattered clouds,-19.06,-169.92,Taloa Heights
302,Lagunas,PE,75.24,few clouds,-5.23,-75.68,Hospedaje Eco
304,Inirida,CO,76.37,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
307,Touros,BR,76.1,scattered clouds,-5.2,-35.46,INN NEW HORIZON
309,Lasa,IT,70.68,few clouds,46.62,10.7,Pension Feldgärtenhof
311,Fare,PF,78.24,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
312,Staritsa,RU,62.64,overcast clouds,56.51,34.94,"Hotel ""House at the Karl Marx"""
316,Dordrecht,NL,65.19,few clouds,51.81,4.67,Bastion Hotel Dordrecht - Papendrecht
319,Abeche,TD,78.93,overcast clouds,13.83,20.83,Assaleh Hamdan Haroune
321,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
322,Khandyga,RU,69.57,overcast clouds,62.67,135.6,Apel'sin
324,Jieshi,CN,79.95,overcast clouds,22.81,115.83,Yuehai Hotel
325,Bereda,ES,63.14,clear sky,43.27,-7.54,Pazo de Verdes
326,Eyl,SO,77.94,overcast clouds,7.98,49.82,DAAWAD HOTEL EYL
328,Yongan,CN,66.94,overcast clouds,39.7,113.69,Beiyue International Hotel
329,Lucapa,AO,65.98,scattered clouds,-8.42,20.74,Residência Ulisses Dos Santos
332,Tezu,IN,76.89,overcast clouds,27.92,96.17,Circuit House
334,Ferme-Neuve,CA,76.78,few clouds,46.7,-75.45,Pourvoirie Club Fontbrune Ltee
336,Kurchum,KZ,68.77,broken clouds,48.57,83.65,"Гостиница ""Кнеда"""
337,Abha,SA,60.62,scattered clouds,18.22,42.51,Abha Hotel
341,Shellbrook,CA,61.83,clear sky,53.22,-106.4,Shellbrook Hotel
342,Presidente Medici,BR,79.05,clear sky,-11.18,-61.9,Oliveira Palace Hotel
