Index,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Lakes Entrance,AU,-37.88,147.98,52.18,65,91,11.36,overcast clouds
118,San Cristobal,VE,7.77,-72.22,82.58,90,77,5.91,broken clouds
119,Thompson,CA,55.74,-97.86,69.96,32,40,4.61,scattered clouds
120,Vila Do Maio,CV,15.13,-23.22,77.79,86,26,11.65,scattered clouds
121,Marsa Matruh,EG,31.35,27.25,80.8,78,0,11.5,clear sky
122,Canora,CA,51.63,-102.43,68.02,36,0,6.76,clear sky
123,Mahebourg,MU,-20.41,57.70,71.89,68,40,14.97,scattered clouds
124,Meru,KE,0.05,37.66,61.27,73,100,4.74,overcast clouds
125,Nampula,MZ,-15.12,39.27,64.35,94,20,6.91,few clouds
126,Taksimo,RU,56.34,114.88,64.44,80,100,2.19,overcast clouds
127,Bergen,NO,60.39,5.33,57.65,78,75,4.61,broken clouds
128,Constantine,DZ,36.37,6.61,71.01,64,20,6.91,few clouds
129,Kingman,US,35.19,-114.05,101.03,51,40,17.27,scattered clouds
130,Port Hawkesbury,CA,45.62,-61.35,78.91,90,75,1.99,broken clouds
131,Altamira,BR,-3.20,-52.21,86.09,74,20,1.14,few clouds
132,Mineiros,BR,-17.57,-52.55,61.86,15,1,8.81,clear sky
133,Cayenne,GF,4.93,-52.33,84.24,86,0,1.99,clear sky
134,Yellowknife,CA,62.46,-114.35,70.29,63,75,6.91,broken clouds
135,Banjar,ID,-8.19,114.97,76.86,88,11,3.27,few clouds
136,Kaitangata,NZ,-46.28,169.85,46.92,86,48,4.45,scattered clouds
137,Sibolga,ID,1.74,98.78,75.11,84,74,3.96,broken clouds
138,Souillac,MU,-20.52,57.52,71.98,68,40,14.97,scattered clouds
139,Silver City,US,32.77,-108.28,82.36,49,40,8.05,scattered clouds
140,Eston,CA,51.15,-108.75,86.9,36,38,13.53,scattered clouds
141,Xudat,AZ,41.63,48.68,76.96,70,5,2.3,clear sky
142,Edd,ER,13.93,41.69,91.04,59,100,5.79,overcast clouds
143,Shimanovsk,RU,52.00,127.70,69.06,96,79,5.23,broken clouds
144,Saint George,US,37.10,-113.58,98.38,30,1,5.99,clear sky
145,Buraydah,SA,26.33,43.98,99.05,14,39,9.89,scattered clouds
146,Sakakah,SA,29.97,40.21,98.17,13,90,8.03,overcast clouds
147,Port Alfred,ZA,-33.59,26.89,60.67,84,41,11.95,scattered clouds
148,Omsukchan,RU,62.53,155.80,56.8,47,91,1.68,overcast clouds
149,Cabra,ES,37.47,-4.44,83.64,29,0,4.05,clear sky
150,Kropotkin,RU,45.44,40.58,78.48,47,0,5.79,clear sky
151,Muchkapskiy,RU,51.85,42.47,70.29,77,21,4.85,few clouds
152,Guarapari,BR,-20.67,-40.50,69.69,87,100,13.0,overcast clouds
153,Trinidad,BO,-14.83,-64.90,75.18,35,3,6.91,clear sky
154,Truth Or Consequences,US,33.13,-107.25,91.9,34,66,1.77,broken clouds
155,Lorengau,PG,-2.02,147.27,80.42,81,100,2.82,moderate rain
156,Kuah,MY,6.33,99.84,80.58,78,20,4.61,few clouds
